fineder_restaurant_id,restaurant_name,address,postal_code,cuisine,michelin_stars,google_rating,licensee_name,licence_number,premises_address,grade,demerit_points,suspension_start_date,suspension_end_date,match_method,match_confidence
16,Rhubarb Le Restaurant,"3 Duxton Hill, Singapore 089589",089589,Contemporary|European|French,1,4.6,RHUBARB LE RESTAURANT PTE. LTD.,CE04581L000,3 DUXTON HILL SINGAPORE 089589,A,na,na,na,name_substring,high_or_medium_review_required
4,Lei Garden Restaurant,"#01-24 Chijmes, 30 Victoria Street, Singapore",,Asian|Chinese,1,4.3,LEI GARDEN RESTAURANT PTE LTD,W96120A000,30 VICTORIA STREET #01-24 CHIJMES SINGAPORE 187996,B,na,na,na,name_substring,high_or_medium_review_required
14,Reve,"39 Kreta Ayer Road, #01-01, Singapore 089002",089002,Asian|European|French|Fusion|Japanese,1,4.7,CHEAN KIOW CHAI,W97309N000,11 KENG CHEOW STREET #01-05/06 REVERSIDE PIAZZA SINGAPORE 059608,A,na,na,na,name_substring,high_or_medium_review_required
14,Reve,"39 Kreta Ayer Road, #01-01, Singapore 089002",089002,Asian|European|French|Fusion|Japanese,1,4.7,MOMIJI RESTAURANTS PTE. LTD.,CE06I89L000,55 NEWTON ROAD #02-02 REVENUE HOUSE (PART OF) SINGAPORE 307987,A,na,na,na,name_substring,high_or_medium_review_required
14,Reve,"39 Kreta Ayer Road, #01-01, Singapore 089002",089002,Asian|European|French|Fusion|Japanese,1,4.7,SUKI SUSHI PTE LTD,CE06I81E000,55 NEWTON ROAD #02-02 (PART OF) REVENUE HOUSE SINGAPORE 307987,na,na,na,na,name_substring,high_or_medium_review_required
14,Reve,"39 Kreta Ayer Road, #01-01, Singapore 089002",089002,Asian|European|French|Fusion|Japanese,1,4.7,EYAM BTE OTHMAN,CE06I81E008,55 NEWTON ROAD #02-02 (PART OF) REVENUE HOUSE SINGAPORE 307987,A,na,na,na,name_substring,high_or_medium_review_required
14,Reve,"39 Kreta Ayer Road, #01-01, Singapore 089002",089002,Asian|European|French|Fusion|Japanese,1,4.7,THE LITTLE FAT PIG PTE. LTD.,CE06I81E007,55 NEWTON ROAD #02-02 (PART OF) REVENUE HOUSE SINGAPORE 307987,A,na,na,na,name_substring,high_or_medium_review_required
14,Reve,"39 Kreta Ayer Road, #01-01, Singapore 089002",089002,Asian|European|French|Fusion|Japanese,1,4.7,NG POH ENG,CE06I81E006,55 NEWTON ROAD #02-02 (PART OF) REVENUE HOUSE SINGAPORE 307987,A,na,na,na,name_substring,high_or_medium_review_required
14,Reve,"39 Kreta Ayer Road, #01-01, Singapore 089002",089002,Asian|European|French|Fusion|Japanese,1,4.7,SEIKH UKIL,CE06I81E005,55 NEWTON ROAD #02-02 (PART OF) REVENUE HOUSE SINGAPORE 307987,B,na,na,na,name_substring,high_or_medium_review_required
14,Reve,"39 Kreta Ayer Road, #01-01, Singapore 089002",089002,Asian|European|French|Fusion|Japanese,1,4.7,LU BOXING,CE06I81E004,55 NEWTON ROAD #02-02 (PART OF) REVENUE HOUSE SINGAPORE 307987,B,na,na,na,name_substring,high_or_medium_review_required
