target_id,display_name,area,location_hint,address_hint,search_query,source_note,menu_status,menu_source_url,notes
T001,The Royals Bistro,NUS University Town,CREATE Tower #01-03,1 Create Way Singapore 138602,The Royals Bistro NUS menu,Known NUS/UTown outlet,collected,,Menu images extracted to data/interim/menus_raw.csv
T002,Subway,NUS University Town,CREATE Tower #01-02,1 Create Way Singapore 138602,Subway NUS University Town menu,NEA licensee SUBS UT PTE. LTD.,foodpanda_brand_reference_only,https://www.foodpanda.sg/restaurant/y3gv/subway-nus-stephen-riady-centre,Foodpanda returned a different or uncertain branch; see data/interim/foodpanda_branch_validation.csv
T003,Udon Don Bar,NUS University Town,Town Plaza #01-12,1 Create Way Singapore 138602,Udon Don Bar NUS menu,Eatbook NUS food guide,collected_foodpanda_exact,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,Extracted exact target branch after manual Foodpanda human verification; see data/interim/foodpanda_menus_address_verified_target_branch_only.csv
T004,Hae Bok's Korean Restaurant,NUS University Town,CREATE Tower #01-09,1 Create Way Singapore 138602,Hae Bok Korean Restaurant NUS menu,NEA licensed outlet,to_find,,
T005,Koufu Food Court,NUS University Town,Town Plaza,1 Create Way Singapore 138602,Koufu NUS UTown menu,NEA licensed outlet,to_find,,
T006,A Hot Hideout,NUS Kent Ridge,Prince George's Park #02-01,Prince George's Park NUS,A Hot Hideout NUS menu,NUS UCI dining listing,foodpanda_brand_reference_only,https://www.foodpanda.sg/restaurant/cie6/a-hot-hideout-nus,Foodpanda returned a different or uncertain branch; see data/interim/foodpanda_branch_validation.csv
T007,Anna's x The Soup Spoon Union,NUS Kent Ridge,Forum,Forum NUS,Anna's x The Soup Spoon Union NUS menu,NUS UCI dining listing,foodpanda_brand_reference_only,https://www.foodpanda.sg/restaurant/tvcp/the-soup-spoon-union-nus-central-library,Foodpanda returned a different or uncertain branch; see data/interim/foodpanda_branch_validation.csv
T008,Arise and Shine,NUS Kent Ridge,Engineering Block E4,Engineering Block E4 NUS,Arise and Shine NUS menu,NUS UCI dining listing,to_find,,
T009,Bakehaus / Aurea,NUS Kent Ridge,The Ridge,The Ridge NUS,Bakehaus Aurea NUS menu,NUS UCI dining listing,to_find,,
T010,Bistro Box,NUS Kent Ridge,College of Design and Engineering,CDE NUS,Bistro Box NUS menu,NUS UCI dining listing,collected_public_web_reference,https://www.foodpanda.sg/restaurant/p0a6/bistro-box-by-uncle-penyet-thomson-plaza,Public web menu rows collected; branch applicability should be reviewed before treating as exact outlet data
T011,Burnt Cones,NUS Kent Ridge,Medicine Block MD11,MD11 NUS,Burnt Cones NUS MD11 menu,NUS UCI dining listing,collected_public_web_reference,https://www.burntcones.com/,Public web menu rows collected; branch applicability should be reviewed before treating as exact outlet data
T012,Cafe Delight,NUS Kent Ridge,Ventus,Ventus NUS,Cafe Delight NUS Ventus menu,NUS UCI dining listing,to_find,,
T013,Sloppy B,NUS Kent Ridge,University Sports Centre,University Sports Centre NUS,Sloppy B NUS menu,Eatbook NUS food guide,collected_foodpanda_exact,https://www.foodpanda.sg/restaurant/ht0p/sloppy-b-pasta-nus,Foodpanda search-indexed menu text matched University Sports Centre branch/address
T014,Burger King,One@KentRidge,#03-11,1 Lower Kent Ridge Road Singapore 119082,Burger King One@KentRidge menu,One@KentRidge halal directory,foodpanda_brand_reference_only,https://www.foodpanda.sg/restaurant/s6po/burger-king-r-oneatkentridge,Foodpanda returned a different or uncertain branch; see data/interim/foodpanda_branch_validation.csv
T015,Crave Nasi Lemak,One@KentRidge,#01-19/20,1 Lower Kent Ridge Road Singapore 119082,Crave Nasi Lemak One@KentRidge menu,One@KentRidge halal directory,foodpanda_brand_reference_only,https://www.foodpanda.sg/restaurant/v8sv/crave-kent-ridge,Foodpanda returned a different or uncertain branch; see data/interim/foodpanda_branch_validation.csv
T016,Dabba Street,One@KentRidge,#01-01,1 Lower Kent Ridge Road Singapore 119082,Dabba Street One@KentRidge menu,One@KentRidge halal directory,foodpanda_brand_reference_only,https://www.foodpanda.sg/restaurant/ce8v/dabba-street-oneatkentridge,Foodpanda returned a different or uncertain branch; see data/interim/foodpanda_branch_validation.csv
T017,Delifrance,One@KentRidge,#04-11,1 Lower Kent Ridge Road Singapore 119082,Delifrance One@KentRidge menu,One@KentRidge halal directory,foodpanda_brand_reference_only,https://www.foodpanda.sg/restaurant/v2vb/delifrance-nuh-medical-centre,Foodpanda returned a different or uncertain branch; see data/interim/foodpanda_branch_validation.csv
T018,Hugabo,One@KentRidge,#01-29,1 Lower Kent Ridge Road Singapore 119082,Hugabo One@KentRidge menu,One@KentRidge halal directory,collected_foodpanda_needs_unit_review,https://www.foodpanda.sg/restaurant/u4cp/hugabo-nuh-medical-centre,Foodpanda search-indexed menu text matched One@KentRidge/NUH building but unit number differs from target hint; review before exact branch use
T019,Kaffe & Toast,One@KentRidge,#01-13,1 Lower Kent Ridge Road Singapore 119082,Kaffe and Toast One@KentRidge menu,One@KentRidge halal directory,collected_public_web_reference,https://sgfoodprice.org/kaffe-toast-singapore-menu/,Public web menu rows collected; branch applicability should be reviewed before treating as exact outlet data
T020,Masta Kafe,One@KentRidge,#03-01,1 Lower Kent Ridge Road Singapore 119082,Masta Kafe One@KentRidge menu,One@KentRidge halal directory,collected_public_web_reference,https://thefoodchapter.blogspot.com/2016/07/confinement-food-national-university.html,Public web menu rows collected; branch applicability should be reviewed before treating as exact outlet data
T021,Ordinary Burgers,One@KentRidge,#01-25,1 Lower Kent Ridge Road Singapore 119082,Ordinary Burgers One@KentRidge menu,One@KentRidge halal directory,collected_foodpanda_exact,https://www.foodpanda.sg/restaurant/izfs/ordinary-burgers-lower-kent-ridge,Extracted exact target branch after manual Foodpanda human verification; see data/interim/foodpanda_menus_address_verified_target_branch_only.csv
T022,Poke Theory,One@KentRidge,#02-02,1 Lower Kent Ridge Road Singapore 119082,Poke Theory One@KentRidge menu,One@KentRidge halal directory,foodpanda_brand_reference_only,https://www.foodpanda.sg/restaurant/w8ue/poke-theory-kent-ridge,Foodpanda returned a different or uncertain branch; see data/interim/foodpanda_branch_validation.csv
T023,Polar Cafe,One@KentRidge,#01-103,1 Lower Kent Ridge Road Singapore 119082,Polar Cafe One@KentRidge menu,One@KentRidge halal directory,foodpanda_brand_reference_only,https://www.foodpanda.sg/restaurant/lzp0/polar-puffs-and-cakes-lower-kent-ridge,Foodpanda returned a different or uncertain branch; see data/interim/foodpanda_branch_validation.csv
T024,Saap Saap Thai,One@KentRidge,#01-16,1 Lower Kent Ridge Road Singapore 119082,Saap Saap Thai One@KentRidge menu,One@KentRidge halal directory,collected_public_web_reference,https://sgfoodprice.org/saap-saap-thai-singapore-menu/,Public web menu rows collected; branch applicability should be reviewed before treating as exact outlet data
T025,Stuff'd,One@KentRidge,#01-25,1 Lower Kent Ridge Road Singapore 119082,Stuff'd One@KentRidge menu,One@KentRidge halal directory,foodpanda_brand_reference_only,https://www.foodpanda.sg/restaurant/xcjw/stuffd-oneatkentridge,Foodpanda returned a different or uncertain branch; see data/interim/foodpanda_branch_validation.csv
T026,Syed Cafe,One@KentRidge,#02-04,1 Lower Kent Ridge Road Singapore 119082,Syed Cafe One@KentRidge menu,One@KentRidge halal directory,collected_public_web_reference,https://www.foodpanda.sg/restaurant/ch6o/syed-cafe-nuh,Public web menu rows collected; branch applicability should be reviewed before treating as exact outlet data
T027,Kopitiam Foodcourt,One@KentRidge,#05-01,1 Lower Kent Ridge Road Singapore 119082,Kopitiam One@KentRidge menu,One@KentRidge / NEA licensed foodcourt,to_find,,
T028,Starbucks,NUH Medical Centre,#03-12,1 Lower Kent Ridge Road Singapore 119082,Starbucks NUH Medical Centre menu,MyFoodStory Kent Ridge listing,collected_public_web_reference,https://menuzsg.com/starbucks-menu-singapore/,Public web menu rows collected; branch applicability should be reviewed before treating as exact outlet data
T029,Xin Wang Hong Kong Cafe,NUH Medical Centre,#02-10,1 Lower Kent Ridge Road Singapore 119082,Xin Wang Hong Kong Cafe NUH Medical Centre menu,MyFoodStory Kent Ridge listing,foodpanda_brand_reference_only,https://www.foodpanda.sg/restaurant/v1fz/xin-wang-hong-kong-cafe-nuh-medical-centre,Foodpanda returned a different or uncertain branch; see data/interim/foodpanda_branch_validation.csv
T030,KICK Cafe,Savourworld,#01-18,2 Science Park Drive Singapore 118222,KICK Cafe Savourworld menu,MyFoodStory Kent Ridge listing,to_find,,
T031,Jewel Coffee,Savourworld,#01-32,2 Science Park Drive Singapore 118222,Jewel Coffee Savourworld menu,MyFoodStory Kent Ridge listing,collected_public_web_reference,https://healthyeatwhere.com/jewel-coffee/,Public web menu rows collected; branch applicability should be reviewed before treating as exact outlet data
T032,Crystal Jade Hong Kong Kitchen,The Clementi Mall,#03-54/55,3155 Commonwealth Avenue West Singapore 129588,Crystal Jade Hong Kong Kitchen Clementi Mall menu,Clementi Mall / Crystal Jade listing,foodpanda_brand_reference_only,https://www.foodpanda.sg/restaurant/v5pe/crystal-jade-hong-kong-kitchen-clementi-mall,Foodpanda returned a different or uncertain branch; see data/interim/foodpanda_branch_validation.csv
T033,Soup Restaurant,The Clementi Mall,,3155 Commonwealth Avenue West Singapore 129588,Soup Restaurant The Clementi Mall menu,Clementi Mall food guide,foodpanda_brand_reference_only,https://www.foodpanda.sg/restaurant/v9vx/soup-restaurant-clementi-mall,Foodpanda returned a different or uncertain branch; see data/interim/foodpanda_branch_validation.csv
T034,Ramen Ichiro,The Clementi Mall,,3155 Commonwealth Avenue West Singapore 129588,Ramen Ichiro The Clementi Mall menu,Clementi Mall food guide,collected_public_web_reference,https://danielfooddiary.com/2021/09/21/theclementimall/,Public web menu rows collected; branch applicability should be reviewed before treating as exact outlet data
T035,Boleh Boleh!,The Clementi Mall,,3155 Commonwealth Avenue West Singapore 129588,Boleh Boleh Clementi Mall menu,Clementi Mall food guide,collected_public_web_reference,https://clementimall.co/shop/boleh-boleh-clementi-mall,Public web menu rows collected; branch applicability should be reviewed before treating as exact outlet data
T036,JINJJA Chicken,The Clementi Mall,,3155 Commonwealth Avenue West Singapore 129588,JINJJA Chicken Clementi Mall menu,Clementi Mall food guide,collected_public_web_reference,https://menuprices.sg/jinjja-chicken-singapore-menu/,Public web menu rows collected; branch applicability should be reviewed before treating as exact outlet data
T037,Sushi Express,The Clementi Mall,,3155 Commonwealth Avenue West Singapore 129588,Sushi Express Clementi Mall menu,Clementi Mall food guide,foodpanda_brand_reference_only,https://www.foodpanda.sg/restaurant/aiud/sushi-express-the-clementi-mall,Foodpanda returned a different or uncertain branch; see data/interim/foodpanda_branch_validation.csv
T038,Ha Jun,The Clementi Mall,,3155 Commonwealth Avenue West Singapore 129588,Ha Jun Clementi Mall menu,Clementi Mall food guide,foodpanda_brand_reference_only,https://www.foodpanda.sg/restaurant/yhf9/ha-jun-korean-the-clementi-mall,Foodpanda returned a different or uncertain branch; see data/interim/foodpanda_branch_validation.csv
T039,Ichiban Sushi,The Clementi Mall,,3155 Commonwealth Avenue West Singapore 129588,Ichiban Sushi Clementi Mall menu,Clementi Mall food guide,foodpanda_brand_reference_only,https://www.foodpanda.sg/restaurant/x2ae/ichiban-boshi-clementi-mall,Foodpanda returned a different or uncertain branch; see data/interim/foodpanda_branch_validation.csv
