"restaurant_id","restaurant_name","address","nea_grade","demerit_points","source_type","menu_source_url","menu_file","menu_status","notes"
"R001","FOUR SEASONS MANAGEMENT PTE. LTD.","1 AYER RAJAH AVENUE 6th STOREY - INSEAD SINGAPORE 138676","A","na","manual_or_html","","","to_find",""
"R002","FOUR SEASONS MANAGEMENT PTE. LTD.","1 AYER RAJAH AVENUE First storey INSEAD SINGAPORE 138676","A","na","manual_or_html","","","to_find",""
"R003","CHEERS HOLDINGS (2004) PTE. LTD.","1 CREATE WAY #01-01 UNIVERSITY TOWN - NUS SINGAPORE 138602","A","na","manual_or_html","","","to_find",""
"R004","SUBS UT PTE. LTD","1 CREATE WAY #01-02 UNIVERSITY TOWN - NUS SINGAPORE 138602","A","na","manual_or_html","","","to_find",""
"R005","THE ROYALS CAFE PTE. LTD.","1 CREATE WAY #01-03 UNIVERSITY TOWN NUS SINGAPORE 138602","A","na","manual_or_html","","","to_find",""
"R006","ALAN TAN HANG CHENG","1 CREATE WAY #01-04 UNIVERSITY TOWN - NUS SINGAPORE 138602","A","na","manual_or_html","","","to_find",""
"R007","CHEN BIN","1 CREATE WAY #01-04 UNIVERSITY TOWN - NUS SINGAPORE 138602","B","na","manual_or_html","","","to_find",""
"R008","CHEN JIANQING","1 CREATE WAY #01-04 UNIVERSITY TOWN - NUS SINGAPORE 138602","A","na","manual_or_html","","","to_find",""
"R009","CHEN LI","1 CREATE WAY #01-04 UNIVERSITY TOWN - NUS SINGAPORE 138602","A","na","manual_or_html","","","to_find",""
"R010","DING XIAOCONG","1 CREATE WAY #01-04 UNIVERSITY TOWN - NUS SINGAPORE 138602","A","na","manual_or_html","","","to_find",""
"R011","JIU MAO JIU HOTPOT PTE. LTD.","1 CREATE WAY #01-04 UNIVERSITY TOWN - NUS SINGAPORE 138602","A","na","manual_or_html","","","to_find",""
"R012","JIU MAO JIU HOTPOT PTE. LTD.","1 CREATE WAY #01-04 UNIVERSITY TOWN - NUS SINGAPORE 138602","A","na","manual_or_html","","","to_find",""
"R013","KOUFU PTE LTD","1 CREATE WAY #01-04 UNIVERSITY TOWN - NUS SINGAPORE 138602","A","na","manual_or_html","","","to_find",""
"R014","LIM TEIK SOON","1 CREATE WAY #01-04 UNIVERSITY TOWN - NUS SINGAPORE 138602","B","na","manual_or_html","","","to_find",""
