"licensee_name","licence_number","premises_address","grade","demerit_points","suspension_start_date","suspension_end_date"
"FOUR SEASONS MANAGEMENT PTE. LTD.","SW15062N000","1 AYER RAJAH AVENUE 6th STOREY - INSEAD SINGAPORE 138676","A","na","na","na"
"FOUR SEASONS MANAGEMENT PTE. LTD.","C00117J000","1 AYER RAJAH AVENUE First storey INSEAD SINGAPORE 138676","A","na","na","na"
"CHEERS HOLDINGS (2004) PTE. LTD.","SW11501V000","1 CREATE WAY #01-01 UNIVERSITY TOWN - NUS SINGAPORE 138602","A","na","na","na"
"SUBS UT PTE. LTD","SW11670K000","1 CREATE WAY #01-02 UNIVERSITY TOWN - NUS SINGAPORE 138602","A","na","na","na"
"THE ROYALS CAFE PTE. LTD.","SW11461B000","1 CREATE WAY #01-03 UNIVERSITY TOWN NUS SINGAPORE 138602","A","na","na","na"
"ALAN TAN HANG CHENG","SW11562P009","1 CREATE WAY #01-04 UNIVERSITY TOWN - NUS SINGAPORE 138602","A","na","na","na"
"CHEN BIN","SW11562P003","1 CREATE WAY #01-04 UNIVERSITY TOWN - NUS SINGAPORE 138602","B","na","na","na"
"CHEN JIANQING","SW11562P005","1 CREATE WAY #01-04 UNIVERSITY TOWN - NUS SINGAPORE 138602","A","na","na","na"
"CHEN LI","SW11562P004","1 CREATE WAY #01-04 UNIVERSITY TOWN - NUS SINGAPORE 138602","A","na","na","na"
"DING XIAOCONG","SW11562P007","1 CREATE WAY #01-04 UNIVERSITY TOWN - NUS SINGAPORE 138602","A","na","na","na"
"JIU MAO JIU HOTPOT PTE. LTD.","SW11562P010","1 CREATE WAY #01-04 UNIVERSITY TOWN - NUS SINGAPORE 138602","A","na","na","na"
"JIU MAO JIU HOTPOT PTE. LTD.","SW11562P002","1 CREATE WAY #01-04 UNIVERSITY TOWN - NUS SINGAPORE 138602","A","na","na","na"
"KOUFU PTE LTD","SW11562P012","1 CREATE WAY #01-04 UNIVERSITY TOWN - NUS SINGAPORE 138602","A","na","na","na"
