restaurant_id,restaurant_name,raw_menu_item_name,raw_price,raw_category,source_url,source_file,collected_at,notes,price_sgd,price_note,description,address,postal_code,latitude,longitude,restaurant_rating,rating_count,cuisine,target_id,branch_match_status,actual_restaurant_name,actual_address
T003,Udon Don Bar (Create Way),Spicy Tartar Chicken Nanban Don.,from S$ 11.30,Chicken Donburi,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot,11.3,starting_price,Chicken with spicy nanban tartar on rice,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes,T003,target_branch_match,Udon Don Bar (Create Way),"1 Create Way, #01-12, NUS Town Plaza"
T003,Udon Don Bar (Create Way),Salted Egg Chicken Don.,from S$ 12,Chicken Donburi,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot,12.0,starting_price,Salted egg chicken on rice,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes,T003,target_branch_match,Udon Don Bar (Create Way),"1 Create Way, #01-12, NUS Town Plaza"
T003,Udon Don Bar (Create Way),Chicken Katsu Don.,from S$ 11.30,Chicken Donburi,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot,11.3,starting_price,Chicken katsu and egg on rice,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes,T003,target_branch_match,Udon Don Bar (Create Way),"1 Create Way, #01-12, NUS Town Plaza"
T003,Udon Don Bar (Create Way),Spicy Garlic Miso Chicken Don.,from S$ 10.80,Chicken Donburi,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot,10.8,starting_price,Garlic miso chicken on rice,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes,T003,target_branch_match,Udon Don Bar (Create Way),"1 Create Way, #01-12, NUS Town Plaza"
T003,Udon Don Bar (Create Way),Chicken Oyako Don.,from S$ 10.10,Chicken Donburi,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot,10.1,starting_price,Chicken karaage on rice,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes,T003,target_branch_match,Udon Don Bar (Create Way),"1 Create Way, #01-12, NUS Town Plaza"
T003,Udon Don Bar (Create Way),Teriyaki Chicken Don.,from S$ 10.80,Chicken Donburi,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot,10.8,starting_price,Teriyaki chicken on rice,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes,T003,target_branch_match,Udon Don Bar (Create Way),"1 Create Way, #01-12, NUS Town Plaza"
T003,Udon Don Bar (Create Way),Mentai Katsu Don.,from S$ 12.50,Chicken Donburi,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot,12.5,starting_price,Chicken katsu with mentai and ebiko on rice,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes,T003,target_branch_match,Udon Don Bar (Create Way),"1 Create Way, #01-12, NUS Town Plaza"
T003,Udon Don Bar (Create Way),Tsukune & Chicken Karaage Don.,from S$ 11.30,Chicken Donburi,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot,11.3,starting_price,Japanese style chicken meatball and chicken karaage on rice,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes,T003,target_branch_match,Udon Don Bar (Create Way),"1 Create Way, #01-12, NUS Town Plaza"
T003,Udon Don Bar (Create Way),Sukiyaki Beef Don.,from S$ 13.70,Beef Donburi,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot,13.7,starting_price,Beef slices on rice,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes,T003,target_branch_match,Udon Don Bar (Create Way),"1 Create Way, #01-12, NUS Town Plaza"
T003,Udon Don Bar (Create Way),Mentaiyaki Beef & Ebiko Don.,from S$ 14.40,Beef Donburi,https://www.foodpanda.sg/restaurant/y6ri/udon-don-bar-create-way,,2026-08-03,Foodpanda static browser snapshot,14.4,starting_price,Beef slices with mentai and ebiko on rice,"1 Create Way, #01-12, NUS Town Plaza",138602,1.30375385,103.7744264,4.9,959,Japanese|Asian|Noodles|Rice Dishes,T003,target_branch_match,Udon Don Bar (Create Way),"1 Create Way, #01-12, NUS Town Plaza"
