restaurant_id,restaurant_name,raw_menu_item_name,raw_price,raw_category,source_url,source_file,collected_at,notes,price_sgd,price_note,description,source_type
T008,Arise and Shine,,,,https://ph.openrice.com/en/singapore/r-arise-and-shine-%E6%9D%9C%E5%BC%97-%E4%BA%9E%E6%B4%B2%E6%96%99%E7%90%86-%E5%92%96%E5%95%A1-r240140/menus,,2026-08-03,needs_manual_review: no structured priced rows extracted,,,,openrice
T011,Burnt Cones,Pistacchio,S$18,Gelato pints,https://www.burntcones.com/,,2026-08-03,Public web menu static snapshot,18,fixed,,official_menu
T011,Burnt Cones,85% Dark Chocolate,S$19,Gelato pints,https://www.burntcones.com/,,2026-08-03,Public web menu static snapshot,19,fixed,,official_menu
T011,Burnt Cones,Maple Pecan,S$18,Gelato pints,https://www.burntcones.com/,,2026-08-03,Public web menu static snapshot,18,fixed,,official_menu
T011,Burnt Cones,Strawberry Sorbet,S$17,Gelato pints,https://www.burntcones.com/,,2026-08-03,Public web menu static snapshot,17,fixed,,official_menu
T011,Burnt Cones,Mango Passion,S$17,Gelato pints,https://www.burntcones.com/,,2026-08-03,Public web menu static snapshot,17,fixed,,official_menu
T011,Burnt Cones,Ube,S$18,Gelato pints,https://www.burntcones.com/,,2026-08-03,Public web menu static snapshot,18,fixed,,official_menu
T018,Hugabo,,,,https://www.foodpanda.sg/restaurant/u4cp/hugabo-nuh-medical-centre,,2026-08-03,needs_manual_review: no structured priced rows extracted,,,,foodpanda_indexed
T018,Hugabo,,,,https://halalboleh.com/shop/hugabo/9-lower-kent-ridge-road,,2026-08-03,needs_manual_review: no structured priced rows extracted,,,,halalboleh
T019,Kaffe & Toast,,,,https://www.kaffeandtoast.sg/,,2026-08-03,needs_manual_review: no structured priced rows extracted,,,,official_locations
T019,Kaffe & Toast,,,,https://halalboleh.com/shop/kaffe-toast/9-lower-kent-ridge-road,,2026-08-03,needs_manual_review: no structured priced rows extracted,,,,halalboleh
T020,Masta Kafe,,,,https://halalboleh.com/shop/masta-kafe/9-lower-kent-ridge-road,,2026-08-03,needs_manual_review: no structured priced rows extracted,,,,halalboleh
T024,Saap Saap Thai,Saap Saap Buddy Set (2 Pax),SGD 34.00,SAAP SAAP THAI SINGAPORE MENU SPECIAL SET MEALS,https://sgfoodprice.org/saap-saap-thai-singapore-menu/,,2026-08-03,Public web menu static snapshot,34.00,fixed,,price_page
T024,Saap Saap Thai,Crispy Fish Set Specials (2 Pax),SGD 45.90,SAAP SAAP THAI SINGAPORE MENU SPECIAL SET MEALS,https://sgfoodprice.org/saap-saap-thai-singapore-menu/,,2026-08-03,Public web menu static snapshot,45.90,fixed,,price_page
T024,Saap Saap Thai,Thai Crispy Chicken Set Specials (2 Pax),SGD 45.90,SAAP SAAP THAI SINGAPORE MENU SPECIAL SET MEALS,https://sgfoodprice.org/saap-saap-thai-singapore-menu/,,2026-08-03,Public web menu static snapshot,45.90,fixed,,price_page
T024,Saap Saap Thai,Thai Crispy Chicken Upsized Set Specials (4 Pax),SGD 69.00,SAAP SAAP THAI SINGAPORE MENU SPECIAL SET MEALS,https://sgfoodprice.org/saap-saap-thai-singapore-menu/,,2026-08-03,Public web menu static snapshot,69.00,fixed,,price_page
T024,Saap Saap Thai,Family Feast Set (4 Pax),SGD 63.00,SAAP SAAP THAI SINGAPORE MENU SPECIAL SET MEALS,https://sgfoodprice.org/saap-saap-thai-singapore-menu/,,2026-08-03,Public web menu static snapshot,63.00,fixed,,price_page
T024,Saap Saap Thai,Family Feast Party Set (4 Pax),SGD 72.00,SAAP SAAP THAI SINGAPORE MENU SPECIAL SET MEALS,https://sgfoodprice.org/saap-saap-thai-singapore-menu/,,2026-08-03,Public web menu static snapshot,72.00,fixed,,price_page
T024,Saap Saap Thai,Family Upsized Party Set (6 -8 Pax),SGD 116.00,SAAP SAAP THAI SINGAPORE MENU SPECIAL SET MEALS,https://sgfoodprice.org/saap-saap-thai-singapore-menu/,,2026-08-03,Public web menu static snapshot,116.00,fixed,,price_page
T024,Saap Saap Thai,Rice Combo 1 (1 Pax),SGD 14.20,SAAP SAAP THAI MENU INDIVIDUAL SET MEAL,https://sgfoodprice.org/saap-saap-thai-singapore-menu/,,2026-08-03,Public web menu static snapshot,14.20,fixed,,price_page
T024,Saap Saap Thai,Noodle Combo 1 (1 Pax),SGD 14.20,SAAP SAAP THAI MENU INDIVIDUAL SET MEAL,https://sgfoodprice.org/saap-saap-thai-singapore-menu/,,2026-08-03,Public web menu static snapshot,14.20,fixed,,price_page
