restaurant_id,restaurant_name,menu_item_name,raw_menu_item_name,price_sgd,price_note,category,source,source_url,source_file,collected_at,address,latitude,longitude,restaurant_rating,branch_match_status,notes
T001,The Royals Bistro,Soup-of-the-day,Soup-of-the-day,6.0,fixed,starter_side,manual_menu_image,,C:/Users/wuaomo/AppData/Local/Temp/codex-clipboard-cd1eaf92-9757-40e1-9f1f-b1808502dedf.png,2026-08-03,,,,,manual_user_provided_menu,Prices subject to 9% GST
T001,The Royals Bistro,Fried Chicken Wings,Fried Chicken Wings,9.0,fixed,starter_side,manual_menu_image,,C:/Users/wuaomo/AppData/Local/Temp/codex-clipboard-cd1eaf92-9757-40e1-9f1f-b1808502dedf.png,2026-08-03,,,,,manual_user_provided_menu,6pc; combination of mid-joints and drumlets; sweet Thai chilli
T001,The Royals Bistro,Chef's Special Crab Cakes,Chef's Special Crab Cakes,11.9,fixed,starter_side,manual_menu_image,,C:/Users/wuaomo/AppData/Local/Temp/codex-clipboard-cd1eaf92-9757-40e1-9f1f-b1808502dedf.png,2026-08-03,,,,,manual_user_provided_menu,2pc; prices subject to 9% GST
T001,The Royals Bistro,Crispy Fries,Crispy Fries,6.0,fixed,starter_side,manual_menu_image,,C:/Users/wuaomo/AppData/Local/Temp/codex-clipboard-cd1eaf92-9757-40e1-9f1f-b1808502dedf.png,2026-08-03,,,,,manual_user_provided_menu,Prices subject to 9% GST
T001,The Royals Bistro,Twister Fries,Twister Fries,7.0,fixed,starter_side,manual_menu_image,,C:/Users/wuaomo/AppData/Local/Temp/codex-clipboard-cd1eaf92-9757-40e1-9f1f-b1808502dedf.png,2026-08-03,,,,,manual_user_provided_menu,Prices subject to 9% GST
T001,The Royals Bistro,Garlic Bread,Garlic Bread,5.5,fixed,starter_side,manual_menu_image,,C:/Users/wuaomo/AppData/Local/Temp/codex-clipboard-cd1eaf92-9757-40e1-9f1f-b1808502dedf.png,2026-08-03,,,,,manual_user_provided_menu,4pc; prices subject to 9% GST
T001,The Royals Bistro,Fried Samosas + Springrolls,Fried Samosas + Springrolls,7.0,fixed,starter_side,manual_menu_image,,C:/Users/wuaomo/AppData/Local/Temp/codex-clipboard-cd1eaf92-9757-40e1-9f1f-b1808502dedf.png,2026-08-03,,,,,manual_user_provided_menu,4pc each; prices subject to 9% GST
T001,The Royals Bistro,Sweet Potato Fries,Sweet Potato Fries,7.0,fixed,starter_side,manual_menu_image,,C:/Users/wuaomo/AppData/Local/Temp/codex-clipboard-cd1eaf92-9757-40e1-9f1f-b1808502dedf.png,2026-08-03,,,,,manual_user_provided_menu,Prices subject to 9% GST
T001,The Royals Bistro,Truffle Fries,Truffle Fries,9.0,fixed,starter_side,manual_menu_image,,C:/Users/wuaomo/AppData/Local/Temp/codex-clipboard-cd1eaf92-9757-40e1-9f1f-b1808502dedf.png,2026-08-03,,,,,manual_user_provided_menu,Prices subject to 9% GST
T001,The Royals Bistro,Tater Tots,Tater Tots,6.0,fixed,starter_side,manual_menu_image,,C:/Users/wuaomo/AppData/Local/Temp/codex-clipboard-cd1eaf92-9757-40e1-9f1f-b1808502dedf.png,2026-08-03,,,,,manual_user_provided_menu,Prices subject to 9% GST
T001,The Royals Bistro,Sauteed Prawn Salad,Sauteed Prawn Salad,10.5,fixed,salad,manual_menu_image,,C:/Users/wuaomo/AppData/Local/Temp/codex-clipboard-cd1eaf92-9757-40e1-9f1f-b1808502dedf.png,2026-08-03,,,,,manual_user_provided_menu,Avocado dressing; mango salsa; Japanese cucumbers
